"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'FOB (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'FOB (Baht)')"
CN,CHINA,411018,4647188,589518,6668929
DO,DOMINICAN REPUBLIC,0,0,24550,627416
DE,GERMANY,15,446,15,446
IN,INDIA,99000,2129476,148500,3225741
LA,LAO PDR,0,0,325,132422
MY,MALAYSIA,1000,120040,1000,120941
CH,SWITZERLAND,0,54,0,54
TW,"TAIWAN, PROVINCE OF CHINA",24000,271316,24000,271316
VN,VIETNAM,0,0,500,21878
SUM,SUM,535033,7168520,788408,11069143
