"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'FOB (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'FOB (Baht)')"
AO,ANGOLA,18000,702530,191050,8955186
AR,ARGENTINA,0,0,108000,4127127
AU,AUSTRALIA,555200,24894226,3556100,155359006
BH,BAHRAIN,0,0,172800,7691386
BD,BANGLADESH,349800,16405943,1757400,79927732
BE,BELGIUM,51000,2528363,1290000,56300471
BR,BRAZIL,0,0,54000,2198896
BN,BRUNEI DARUSSALAM,2000,89189,2000,89189
KH,CAMBODIA,421950,23483200,2489775,121670476
CM,CAMEROON,54000,2141046,378000,14852237
CA,CANADA,0,0,261500,13438677
CV,CAPE VERDE,0,0,27000,1281625
CL,CHILE,108000,4726656,202500,8981668
CN,CHINA,5990900,275681110,40231255,1759369525
CO,COLOMBIA,18000,818114,18000,818114
CG,CONGO,0,0,27975,1567148
CI,COTE D IVOIRE,0,0,972050,38231176
DK,DENMARK,0,0,34000,1456030
DJ,DJIBOUTI,54000,2414340,558000,23782854
EC,ECUADOR,0,0,35000,1511545
EG,EGYPT,0,0,46500,2039700
FJ,FIJI,25500,1107692,217850,11327346
FI,FINLAND,0,0,1375,62847
FR,FRANCE,242000,12693952,429000,21898058
PF,FRENCH POLYNESIA,13400,735276,53900,2892460
GA,GABON,0,0,125600,4945499
GM,GAMBIA,18000,713682,36000,1404366
DE,GERMANY,241925,12713248,2167575,111291256
GH,GHANA,270000,10426448,2533500,99128686
GR,GREECE,24000,1261038,144750,6764954
GN,GUINEA,0,0,14000,826715
HK,HONG KONG,0,0,100,4270
IN,INDIA,292200,16113689,2127700,102159082
ID,INDONESIA,2122820,95127070,21934485,933939198
IL,ISRAEL,729000,38876919,4614425,221419966
JP,JAPAN,2464075,105378198,10514775,433875761
KZ,KAZAKHSTAN,70000,3193161,380000,16461396
KE,KENYA,35200,1702074,920225,44185685
KR,"KOREA,REPUBLIC OF",20000,2405029,160400,19578872
LA,LAO PDR,40964,1900754,197077,8481919
LV,LATVIA,0,0,38825,1890231
MG,MADAGASCAR,0,0,81000,4091868
MY,MALAYSIA,950975,42086892,5571675,238224979
ML,MALI,27000,1424178,81000,3945700
MU,MAURITIUS,43200,2334074,417750,21652205
MZ,MOZAMBIQUE,105200,4930068,644400,27338064
MM,MYANMAR,200100,8959053,1312000,56518600
NL,NETHERLANDS,0,0,156000,8253377
NC,NEW CALEDONIA,30000,1270184,106975,4905191
NZ,NEW ZEALAND,280000,12683125,1865000,80584173
NG,NIGERIA,17000,806432,420000,8604737
OM,OMAN,0,0,369600,16451744
PK,PAKISTAN,4000,447063,179300,9787610
PG,PAPUA NEW GUINEA,8000,339848,240000,11162512
PE,PERU,108000,4662830,342000,14244294
PH,PHILIPPINES,616500,27530261,1642950,72104366
PL,POLAND,45000,2431048,385000,17697954
PT,PORTUGAL,0,0,64500,2992590
QA,QATAR,0,0,113575,6729368
RE,REUNION,39000,2086939,152000,7624881
RO,ROMANIA,0,0,48000,2198002
RU,RUSSIAN FEDERATION,334575,16526480,1636125,71215372
SN,SENEGAL,13500,738993,220625,11219217
SC,SEYCHELLES,0,0,10000,780714
SL,SIERRA LEONE,40500,2130957,297000,13465932
SG,SINGAPORE,64375,2878330,382550,16786968
SK,SLOVAKIA,0,0,48750,2080392
SI,SLOVENIA,0,0,408000,16401594
SO,SOMALIA,0,0,8006,832216
ZA,SOUTH AFRICA,248025,10845765,1583525,66533990
ES,SPAIN,97500,4399429,146250,6477158
LK,SRI LANKA,224700,10800873,532125,24507345
SD,SUDAN,0,0,13500,650878
CH,SWITZERLAND,0,0,200,8319
TW,"TAIWAN, PROVINCE OF CHINA",5000,583123,248500,12263242
TZ,TANZANIA UNITED REPUBLIC OF,0,0,70400,2997701
TG,TOGO,72000,2889775,1260000,48914512
TR,TÜRKIYE,89675,4989444,610375,31841943
UA,UKRAINE,140800,6846672,468900,21902839
AE,UNITED ARAB EMIRATES,229100,10666664,1591200,72213678
GB,UNITED KINGDOM,0,0,48000,2060117
US,UNITED STATES,0,0,50,1974
UY,URUGUAY,0,0,10000,418512
VN,VIETNAM,1406050,69042281,8386873,378209746
YE,YEMEN,0,0,100,3924
SUM,SUM,19671709,913563728,131198246,5763088833
