"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'FOB (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'FOB (Baht)')"
AU,AUSTRALIA,94640,7633884,1565040,122282692
AT,AUSTRIA,0,4,0,4
BD,BANGLADESH,0,0,2009069,122796477
BE,BELGIUM,1250,94178,6316910,397975628
CA,CANADA,0,0,1875,10806
CN,CHINA,12410952,780953114,102002467,6223807296
ET,ETHIOPIA,0,0,170000,5031262
FJ,FIJI,10600,590140,32600,1771169
FR,FRANCE,0,0,1290,109088
GA,GABON,0,0,17000,526858
DE,GERMANY,0,0,150,6618
GH,GHANA,46500,1557750,99500,3389338
HK,HONG KONG,96350,6671789,1536634,98350525
IN,INDIA,1771975,86266711,15555030,749471937
ID,INDONESIA,395810,26989923,3667763,235995282
JP,JAPAN,3969608,247102239,27474829,1689243049
KE,KENYA,27000,932662,76650,2663026
KR,"KOREA,REPUBLIC OF",1610300,111031590,18464120,1235099682
LA,LAO PDR,0,0,363377,10342762
MY,MALAYSIA,183850,13032216,1452280,97034796
MV,MALDIVES,0,0,49500,1776467
MU,MAURITIUS,0,0,34000,974668
MM,MYANMAR,0,0,270,24808
NL,NETHERLANDS,0,0,792000,65986466
NZ,NEW ZEALAND,8200,703000,200310,15689345
PK,PAKISTAN,0,0,32175,1987317
PE,PERU,0,0,17000,657861
PH,PHILIPPINES,998250,51917062,7437850,395452266
PT,PORTUGAL,0,0,100,25067
RU,RUSSIAN FEDERATION,0,0,3510,683484
SA,SAUDI ARABIA,0,0,1375,89655
SG,SINGAPORE,131198,8321092,1486895,97478495
ES,SPAIN,0,0,2790,201495
LK,SRI LANKA,42025,1208195,167527,8494783
CH,SWITZERLAND,0,0,750,3201
TW,"TAIWAN, PROVINCE OF CHINA",422600,26053401,4265820,264021533
TZ,TANZANIA UNITED REPUBLIC OF,51000,1673127,204000,6681753
AE,UNITED ARAB EMIRATES,30000,866730,30038,866858
GB,UNITED KINGDOM,0,3494,0,3494
US,UNITED STATES,20000,1979480,2290300,163796324
UY,URUGUAY,22500,1421479,22500,1421479
VN,VIETNAM,466700,34470760,3655592,255961636
SUM,SUM,22811308,1411474020,201500886,12278186750
