"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'FOB (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'FOB (Baht)')"
AO,ANGOLA,561000,24282607,561000,24282607
AR,ARGENTINA,700,64939,1450,121056
AT,AUSTRIA,775,108713,4948,474030
BH,BAHRAIN,823,346163,823,346163
BD,BANGLADESH,742500,31803593,1640000,67956221
BE,BELGIUM,20000,1531845,208000,19196421
BR,BRAZIL,24000,971001,66000,3019939
KH,CAMBODIA,267000,10401780,571150,22571218
CA,CANADA,0,0,300,12660
CN,CHINA,9091652,287848521,15526324,494501367
CO,COLOMBIA,26000,1105019,26000,1105019
FJ,FIJI,16500,683209,32500,1123380
GA,GABON,48600,1198200,48600,1198200
DE,GERMANY,0,0,300,12484
HT,HAITI,0,0,16500,665451
HK,HONG KONG,1276574,53933168,2855849,116626560
IN,INDIA,717950,24300565,1455250,49657148
ID,INDONESIA,9649650,393031604,19586875,789993438
JP,JAPAN,2314539,94475350,3494480,144956727
KE,KENYA,51000,2195183,51000,2195183
KR,"KOREA,REPUBLIC OF",1050,53304,151775,3497410
LA,LAO PDR,75000,3232564,190100,7143135
MY,MALAYSIA,797000,31181446,2398150,95368757
MU,MAURITIUS,43000,1820548,92500,3942766
MX,MEXICO,24000,860356,72000,2627500
MZ,MOZAMBIQUE,264000,9930001,1006500,38611729
MM,MYANMAR,997500,39510985,1971500,77350219
NZ,NEW ZEALAND,22000,921977,39000,1606892
PK,PAKISTAN,75700,3331499,117300,5565368
PE,PERU,156000,6482189,156000,6482189
PH,PHILIPPINES,1002000,38596333,2544000,100034471
PT,PORTUGAL,0,0,50,2224
RU,RUSSIAN FEDERATION,100,4267,125,5314
SG,SINGAPORE,60750,2471546,95075,3897398
ZA,SOUTH AFRICA,42800,3864153,99800,10145991
LK,SRI LANKA,39315,2601023,93965,6231996
CH,SWITZERLAND,0,0,3295,88164
SY,SYRIAN ARAB REPUBLIC,0,0,51000,2062280
TW,"TAIWAN, PROVINCE OF CHINA",17513,788532,25588,1031437
US,UNITED STATES,18014,2516834,90564,7053727
VN,VIETNAM,7797300,304963217,18784845,731886183
SUM,SUM,36242305,1381412234,74130481,2844650422
