"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2015', 'Quantity')","('Feb 2015', 'FOB (Baht)')","('Jan - Feb 2015', 'Quantity')","('Jan - Feb 2015', 'FOB (Baht)')"
AU,AUSTRALIA,113000,5284572,129000,6150526
BD,BANGLADESH,765000,32276748,1275000,54907325
KH,CAMBODIA,0,0,880,69237
CN,CHINA,4215000,194736210,11079400,521135177
IN,INDIA,2390000,101314310,5683000,235188301
ID,INDONESIA,217025,9862916,360025,17078880
KE,KENYA,102000,4714607,102000,4714607
KR,"KOREA,REPUBLIC OF",200,7776,200,7776
LA,LAO PDR,2,6054,56,103119
MY,MALAYSIA,1000,46693,18000,861709
PK,PAKISTAN,204000,8752319,425000,18451858
LK,SRI LANKA,119000,5412239,187000,9115077
TW,"TAIWAN, PROVINCE OF CHINA",24000,1035269,24000,1035269
VN,VIETNAM,219000,10276871,436000,21104014
SUM,SUM,8369227,373726584,19719561,889922875
