"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'FOB (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'FOB (Baht)')"
CN,CHINA,0,0,15650,988366
FR,FRANCE,0,0,2,59
HK,HONG KONG,0,0,100,5991
ID,INDONESIA,123698,7787644,372848,24807741
JP,JAPAN,250,6481,13530,1038867
KR,"KOREA,REPUBLIC OF",100,5908,1200,97368
MY,MALAYSIA,28000,1852792,210100,13632024
SG,SINGAPORE,0,0,1,102
ZA,SOUTH AFRICA,2000,195854,38000,2834895
TW,"TAIWAN, PROVINCE OF CHINA",500,19201,2850,164794
US,UNITED STATES,0,0,4,118
VN,VIETNAM,800,289793,1200,359203
SUM,SUM,155348,10157673,655485,43929528
