"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'FOB (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'FOB (Baht)')"
BD,BANGLADESH,0,0,70500,2618673
BN,BRUNEI DARUSSALAM,10000,440655,22000,947669
CN,CHINA,0,0,137425,5337913
IN,INDIA,34000,2035059,116000,6782876
ID,INDONESIA,279050,12340093,2685104,116722117
JP,JAPAN,1300,83498,2432,151100
PK,PAKISTAN,0,0,2800,277980
SG,SINGAPORE,0,0,11,1106
TW,"TAIWAN, PROVINCE OF CHINA",0,0,59,32135
TR,TÜRKIYE,4800,384346,15600,1222520
US,UNITED STATES,0,0,19425,1525138
VN,VIETNAM,0,0,100,16711
SUM,SUM,329150,15283651,3071456,135635938
