"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2013', 'Quantity')","('Oct 2013', 'FOB (Baht)')","('Jan - Oct 2013', 'Quantity')","('Jan - Oct 2013', 'FOB (Baht)')"
CN,CHINA,0,0,15650,988366
FR,FRANCE,0,0,2,59
HK,HONG KONG,0,0,100,5991
IN,INDIA,0,0,200,5960
ID,INDONESIA,76336,5210742,750375,51515631
JP,JAPAN,25,777,14155,1085235
KR,"KOREA,REPUBLIC OF",0,0,1200,97368
MY,MALAYSIA,28000,1889459,308350,20343369
SG,SINGAPORE,0,0,1,102
ZA,SOUTH AFRICA,0,0,68000,5476793
TW,"TAIWAN, PROVINCE OF CHINA",500,39804,3350,204598
US,UNITED STATES,0,0,4,118
VN,VIETNAM,0,0,1600,431475
SUM,SUM,104861,7140782,1162987,80155065
