"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'FOB (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'FOB (Baht)')"
KH,CAMBODIA,0,0,116000,3691811
CN,CHINA,5150,322970,75000,5819274
IN,INDIA,172620,13565975,1390595,103492402
ID,INDONESIA,0,0,35000,2645383
JP,JAPAN,650,40527,4737,443966
MY,MALAYSIA,12000,756853,34500,3703302
MM,MYANMAR,0,0,29,63800
PH,PHILIPPINES,17275,1001089,255375,17095120
VN,VIETNAM,0,0,200,5757
SUM,SUM,207695,15687414,1911436,136960815
