"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'FOB (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'FOB (Baht)')"
BD,BANGLADESH,51000,2654304,51000,2654304
CN,CHINA,5865000,312615192,5865000,312615192
IN,INDIA,692000,35858071,692000,35858071
ID,INDONESIA,24000,1283306,24000,1283306
LA,LAO PDR,24,57503,24,57503
MY,MALAYSIA,143,19057,143,19057
PK,PAKISTAN,67000,3519466,67000,3519466
PH,PHILIPPINES,51000,2724886,51000,2724886
SG,SINGAPORE,2000,239907,2000,239907
LK,SRI LANKA,51000,2704568,51000,2704568
VN,VIETNAM,30000,1644770,30000,1644770
SUM,SUM,6833167,363321030,6833167,363321030
