"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'FOB (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,3,13645
HK,HONG KONG,135,19833,530,43087
ID,INDONESIA,27000,1400312,160400,8397114
JP,JAPAN,0,0,180,3600
LA,LAO PDR,3000,135271,17501,844272
MM,MYANMAR,0,0,13000,539500
NO,NORWAY,0,0,50,2500
PK,PAKISTAN,12300,655343,56800,3033831
PH,PHILIPPINES,500,33316,19825,1147285
SG,SINGAPORE,70,10084,92,13117
TW,"TAIWAN, PROVINCE OF CHINA",5000,287299,29000,1672514
US,UNITED STATES,0,0,26,862
VN,VIETNAM,0,0,156,1500
SUM,SUM,48005,2541458,297563,15712827
