"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'FOB (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'FOB (Baht)')"
AU,AUSTRALIA,17000,802635,238650,12405724
BD,BANGLADESH,289000,13276993,3774000,180109679
BN,BRUNEI DARUSSALAM,0,0,300,1346
KH,CAMBODIA,0,0,4400,353002
CL,CHILE,0,0,24000,1124461
CN,CHINA,6171750,288522316,45887000,2217743704
IN,INDIA,1663000,76297257,17541000,831912713
ID,INDONESIA,193000,9273534,1489000,74279990
JP,JAPAN,0,0,24000,1353489
KR,"KOREA,REPUBLIC OF",0,0,51000,2502420
LA,LAO PDR,3,6561,96,198138
MY,MALAYSIA,100,17338,44350,2235899
NG,NIGERIA,187000,8673960,187000,8673960
PK,PAKISTAN,0,0,305000,14806958
PH,PHILIPPINES,0,0,189750,9503405
SA,SAUDI ARABIA,0,0,24000,1265538
SC,SEYCHELLES,0,0,300,600
LK,SRI LANKA,84864,4120078,373864,18158113
TW,"TAIWAN, PROVINCE OF CHINA",0,0,48000,2293990
TR,TÜRKIYE,0,0,51000,2476987
US,UNITED STATES,58500,2915781,381523,19587223
VN,VIETNAM,158000,7393249,951000,46791127
SUM,SUM,8822217,411299702,71589233,3447778466
