"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'FOB (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'FOB (Baht)')"
AO,ANGOLA,0,0,212000,4846183
AU,AUSTRALIA,45000,877968,275000,8366713
BD,BANGLADESH,0,0,132825,11060180
BE,BELGIUM,132000,12185454,1798460,174427248
BR,BRAZIL,0,0,300,64620
KH,CAMBODIA,0,0,282896,43033764
CN,CHINA,194500,14960551,3470526,137996610
EG,EGYPT,25000,1065701,146350,8403350
GH,GHANA,0,0,97500,2065645
GN,GUINEA,54000,1134605,108000,2304405
HK,HONG KONG,17,150,27645,766556
IN,INDIA,725775,48785930,5859910,400122234
ID,INDONESIA,160125,10896569,1823830,134960335
JP,JAPAN,68132,5216586,449991,34500115
KR,"KOREA,REPUBLIC OF",23000,1813913,134000,7527344
LA,LAO PDR,133,26849,702,200350
MG,MADAGASCAR,0,0,990000,20852600
MY,MALAYSIA,44900,4164009,416821,41589579
MU,MAURITIUS,0,0,32750,826065
MX,MEXICO,0,0,16000,857680
MM,MYANMAR,0,0,27818,774581
NL,NETHERLANDS,0,0,100,6808
PK,PAKISTAN,1000,92841,136820,9378619
PH,PHILIPPINES,16000,957571,260553,19290910
SA,SAUDI ARABIA,0,0,684450,43477946
SG,SINGAPORE,1000,227835,17050,3975793
ZA,SOUTH AFRICA,36700,1962785,173700,9263614
LK,SRI LANKA,0,0,64462,1297175
TW,"TAIWAN, PROVINCE OF CHINA",40300,4100523,386712,37641331
TG,TOGO,0,0,16250,362079
TR,TÜRKIYE,0,0,12000,656411
AE,UNITED ARAB EMIRATES,0,0,327475,11011428
US,UNITED STATES,10000,311833,119104,5644759
VN,VIETNAM,30662,2564053,245843,18412358
SUM,SUM,1608244,111345726,18747843,1195965388
