"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'FOB (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'FOB (Baht)')"
AU,AUSTRALIA,10500,1059778,91980,9114374
CN,CHINA,93964,2238299,908739,29021393
HK,HONG KONG,0,0,1,41
IN,INDIA,16300,458906,43650,2559142
ID,INDONESIA,0,0,414,336717
LA,LAO PDR,0,0,6074,505762
MY,MALAYSIA,0,0,2000,163943
NZ,NEW ZEALAND,0,0,675,70644
PH,PHILIPPINES,500,57646,850,97284
SG,SINGAPORE,0,0,7000,1065106
TW,"TAIWAN, PROVINCE OF CHINA",0,0,36000,1371202
VN,VIETNAM,0,0,6400,694694
SUM,SUM,121264,3814629,1103783,45000302
