"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'FOB (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'FOB (Baht)')"
AU,AUSTRALIA,64500,2562432,136000,4892684
BD,BANGLADESH,0,0,54850,4627981
BE,BELGIUM,168000,16876868,1186200,121614669
KH,CAMBODIA,27423,4312127,199010,31208598
CN,CHINA,187486,10172163,1758184,75407131
GA,GABON,65000,1636186,163500,3110090
DE,GERMANY,10,597,10,597
GH,GHANA,0,0,81250,2050462
GN,GUINEA,0,0,54000,1331590
HK,HONG KONG,0,0,10,78822
IN,INDIA,391810,27322619,4160504,302389488
ID,INDONESIA,177905,14174370,1703130,124409523
JP,JAPAN,1168,176444,21621,1722841
KR,"KOREA,REPUBLIC OF",0,0,116100,8397151
LA,LAO PDR,127,51139,30982,1464573
MY,MALAYSIA,29325,3044274,279556,28951817
MU,MAURITIUS,0,0,99000,2405214
MM,MYANMAR,0,0,681,50347
NG,NIGERIA,0,0,8000,634019
PK,PAKISTAN,0,0,38875,1757256
PH,PHILIPPINES,56690,4339049,221603,16841536
SA,SAUDI ARABIA,96000,6477464,96000,6477464
SG,SINGAPORE,2000,621493,2900,888513
ZA,SOUTH AFRICA,0,0,89900,401246
LK,SRI LANKA,0,0,162,31725
TW,"TAIWAN, PROVINCE OF CHINA",32950,3366373,344180,32789482
TG,TOGO,32500,782960,32500,782960
AE,UNITED ARAB EMIRATES,15000,363683,45004,1101099
US,UNITED STATES,10000,545941,77425,4691477
VN,VIETNAM,62888,4184281,378403,22095563
SUM,SUM,1420782,101010463,11379540,802605918
