"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'FOB (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'FOB (Baht)')"
AL,ALBANIA,100500,4303869,100500,4303869
AO,ANGOLA,231000,9130056,231000,9130056
AR,ARGENTINA,207000,9350064,207000,9350064
AU,AUSTRALIA,1439000,62111297,1439000,62111297
BD,BANGLADESH,675000,26691720,675000,26691720
BE,BELGIUM,210000,8791706,210000,8791706
KH,CAMBODIA,94500,3811646,94500,3811646
CM,CAMEROON,99000,4221837,99000,4221837
CL,CHILE,201000,8521948,201000,8521948
CN,CHINA,19644075,812655734,19644075,812655734
CO,COLOMBIA,264000,11284924,264000,11284924
DJ,DJIBOUTI,162000,6803564,162000,6803564
EG,EGYPT,99000,4191313,99000,4191313
FJ,FIJI,102000,4205428,102000,4205428
FR,FRANCE,414375,17112969,414375,17112969
PF,FRENCH POLYNESIA,16500,680463,16500,680463
GH,GHANA,34000,1471907,34000,1471907
HK,HONG KONG,190700,7231652,190700,7231652
IN,INDIA,6617825,260789264,6617825,260789264
ID,INDONESIA,3908150,169239287,3908150,169239287
JP,JAPAN,6617767,274023116,6617767,274023116
KR,"KOREA,REPUBLIC OF",940500,38847534,940500,38847534
LA,LAO PDR,593310,26326083,593310,26326083
MY,MALAYSIA,2081085,88758315,2081085,88758315
MU,MAURITIUS,54000,2433384,54000,2433384
MZ,MOZAMBIQUE,50000,2110872,50000,2110872
MM,MYANMAR,135200,5283623,135200,5283623
NZ,NEW ZEALAND,968700,44256481,968700,44256481
PK,PAKISTAN,272250,10439357,272250,10439357
PG,PAPUA NEW GUINEA,18000,787509,18000,787509
PY,PARAGUAY,82500,3458985,82500,3458985
PE,PERU,445500,19276957,445500,19276957
PH,PHILIPPINES,1462400,59579310,1462400,59579310
PL,POLAND,90000,3991340,90000,3991340
SN,SENEGAL,16500,678985,16500,678985
SG,SINGAPORE,290450,12226897,290450,12226897
SK,SLOVAKIA,97500,4195748,97500,4195748
SI,SLOVENIA,90000,3760036,90000,3760036
ZA,SOUTH AFRICA,72000,2820833,72000,2820833
ES,SPAIN,1200,51638,1200,51638
LK,SRI LANKA,183750,7895669,183750,7895669
TW,"TAIWAN, PROVINCE OF CHINA",1220725,51427130,1220725,51427130
AE,UNITED ARAB EMIRATES,288000,12400047,288000,12400047
UY,URUGUAY,49500,2120646,49500,2120646
VN,VIETNAM,1505632,65636170,1505632,65636170
SUM,SUM,52336094,2175387313,52336094,2175387313
