"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'FOB (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'FOB (Baht)')"
BN,BRUNEI DARUSSALAM,0,0,7000,255691
KH,CAMBODIA,0,0,3500,183056
HK,HONG KONG,0,0,150,2750
ID,INDONESIA,371000,17292701,1416000,72896772
JP,JAPAN,225,7812,1350,56010
MY,MALAYSIA,12000,777690,13000,906954
PK,PAKISTAN,0,0,26775,2553017
ZA,SOUTH AFRICA,0,0,14,100
TW,"TAIWAN, PROVINCE OF CHINA",0,0,775,37688
VN,VIETNAM,25000,730323,50000,1474257
SUM,SUM,408225,18808526,1518564,78366295
