"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'FOB (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'FOB (Baht)')"
CN,CHINA,49925,4492976,134250,11748483
IN,INDIA,202700,17711163,791880,67356828
ID,INDONESIA,23800,1942516,48800,5504406
JP,JAPAN,450,22250,1450,69316
MY,MALAYSIA,0,0,8004,721611
PH,PHILIPPINES,59250,5137621,368375,28582907
SG,SINGAPORE,0,0,200,19334
US,UNITED STATES,0,0,400,29619
VN,VIETNAM,0,0,700,22403
SUM,SUM,336125,29306526,1354059,114054907
