"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'FOB (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'FOB (Baht)')"
AU,AUSTRALIA,1,585,1,585
BH,BAHRAIN,0,0,25000,898973
BE,BELGIUM,0,65,0,65
KH,CAMBODIA,20650,289100,54025,717860
CN,CHINA,1039500,41339206,9649795,393741250
FI,FINLAND,0,0,7,328
FR,FRANCE,0,0,0,167
DE,GERMANY,0,0,215,6018
GR,GREECE,0,0,24750,959446
HK,HONG KONG,0,0,2310,2007
IN,INDIA,412,272896,3766,2594429
ID,INDONESIA,1000,39353,31025,1781949
JP,JAPAN,0,0,7700,279084
KR,"KOREA,REPUBLIC OF",0,0,3525,95619
MY,MALAYSIA,0,0,619490,34369873
PH,PHILIPPINES,0,0,109171,4939895
SG,SINGAPORE,0,0,22085,1210000
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1000,67450
AE,UNITED ARAB EMIRATES,0,0,50000,1765107
VN,VIETNAM,0,0,22000,930680
SUM,SUM,1061563,41941205,10625865,444360785
