"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'FOB (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'FOB (Baht)')"
AU,AUSTRALIA,17920,2294773,17920,2294773
CN,CHINA,188325,11423125,188325,11423125
IN,INDIA,70825,8467597,70825,8467597
ID,INDONESIA,18525,1859608,18525,1859608
JP,JAPAN,160,22197,160,22197
LA,LAO PDR,2000,105747,2000,105747
MY,MALAYSIA,13525,1118824,13525,1118824
MM,MYANMAR,10000,279183,10000,279183
PH,PHILIPPINES,5700,562125,5700,562125
SG,SINGAPORE,240,27794,240,27794
VN,VIETNAM,6700,860985,6700,860985
SUM,SUM,333920,27021958,333920,27021958
