"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'FOB (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'FOB (Baht)')"
AU,AUSTRALIA,848485,43369456,2599585,159508285
AT,AUSTRIA,0,0,150,116178
BD,BANGLADESH,322250,14256656,434130,22065468
BE,BELGIUM,118800,7248672,792000,50014895
KH,CAMBODIA,0,0,12000,593043
CN,CHINA,27846227,1407983154,106139974,6228420576
ET,ETHIOPIA,0,0,16000,470906
FJ,FIJI,0,0,38000,1717044
DE,GERMANY,1000,61873,225400,15303759
GH,GHANA,0,0,31000,775000
HK,HONG KONG,86888,4600772,1009304,55359922
IN,INDIA,5766075,272570306,18811519,914125101
ID,INDONESIA,5939530,269014029,12145465,621596082
JP,JAPAN,7694192,388760131,32682043,1867226992
KR,"KOREA,REPUBLIC OF",668850,45801597,6695235,476097052
LA,LAO PDR,0,0,46425,1809679
MY,MALAYSIA,1170785,57960880,2604680,161674310
MU,MAURITIUS,0,0,34100,908613
MM,MYANMAR,214502,7742303,252793,8998194
NP,NEPAL,132550,5985193,191950,9918330
NL,NETHERLANDS,0,0,0,177
NZ,NEW ZEALAND,645210,31086400,966050,51704678
PK,PAKISTAN,58300,2707063,83330,3924322
PG,PAPUA NEW GUINEA,0,0,50,7459
PH,PHILIPPINES,1354500,59427431,2175900,100738961
SA,SAUDI ARABIA,0,0,34200,3153917
SG,SINGAPORE,452310,29852613,2035876,139311285
ZA,SOUTH AFRICA,0,0,8600,1779677
ES,SPAIN,0,0,300,21352
LK,SRI LANKA,213650,11155408,397350,20661885
SE,SWEDEN,0,0,3,1180
CH,SWITZERLAND,124,4446,324,31108
TW,"TAIWAN, PROVINCE OF CHINA",956500,47966445,4347393,258404352
TZ,TANZANIA UNITED REPUBLIC OF,16000,497736,16000,497736
TR,TÜRKIYE,0,0,11000,884064
US,UNITED STATES,57204,3908961,236241,16315947
VN,VIETNAM,1308055,85067319,5943792,434063542
SUM,SUM,55871987,2797028844,201018162,11628201071
