"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2018', 'Quantity')","('Apr 2018', 'FOB (Baht)')","('Jan - Apr 2018', 'Quantity')","('Jan - Apr 2018', 'FOB (Baht)')"
CN,CHINA,0,0,16050,1815574
HK,HONG KONG,3150,187943,3150,187943
IN,INDIA,8000,823474,8000,823474
ID,INDONESIA,13200,1743524,91200,12697222
JP,JAPAN,500,44353,1422,134058
KR,"KOREA,REPUBLIC OF",48000,4391903,168000,15769757
LA,LAO PDR,28000,1313125,67500,3146500
PK,PAKISTAN,500,41933,4000,343400
PH,PHILIPPINES,24000,1363389,90000,5023600
TW,"TAIWAN, PROVINCE OF CHINA",0,0,6500,773482
US,UNITED STATES,12000,658614,30500,1748181
VN,VIETNAM,0,0,122000,6403370
SUM,SUM,137350,10568258,608322,48866561
