"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'FOB (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,27000,673278
KH,CAMBODIA,0,0,459975,23234564
CN,CHINA,40000,4005768,140000,11767076
HK,HONG KONG,0,0,160,21861
IN,INDIA,0,0,152000,5024649
ID,INDONESIA,0,0,110550,6922276
JP,JAPAN,0,0,66401,3669866
LA,LAO PDR,0,0,2395,48000
MY,MALAYSIA,10226,554830,91391,5654749
MM,MYANMAR,0,0,49500,1737379
NZ,NEW ZEALAND,0,0,36000,1216383
PK,PAKISTAN,0,0,15000,653657
PH,PHILIPPINES,0,0,1004,79260
SE,SWEDEN,0,0,26000,1341239
TW,"TAIWAN, PROVINCE OF CHINA",300,192585,300,192585
US,UNITED STATES,0,0,1600,82789
SUM,SUM,50526,4753183,1179276,62319611
