"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'FOB (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'FOB (Baht)')"
AU,AUSTRALIA,24000,1269214,197250,10421086
BD,BANGLADESH,425000,19660591,3434000,164466873
BN,BRUNEI DARUSSALAM,0,0,300,1346
KH,CAMBODIA,1760,157593,4400,353002
CL,CHILE,24000,1124461,24000,1124461
CN,CHINA,2959525,143200866,35289250,1721995695
IN,INDIA,3227000,150230450,13502000,645181864
ID,INDONESIA,321000,16206378,928000,47242941
JP,JAPAN,0,0,12000,687760
KR,"KOREA,REPUBLIC OF",0,0,51000,2502420
LA,LAO PDR,9,4689,89,187765
MY,MALAYSIA,10000,502790,44250,2218561
PK,PAKISTAN,0,0,288000,14004222
PH,PHILIPPINES,34000,1613965,155750,7863877
SA,SAUDI ARABIA,0,0,24000,1265538
SC,SEYCHELLES,300,600,300,600
LK,SRI LANKA,0,0,187000,9208064
TW,"TAIWAN, PROVINCE OF CHINA",0,0,48000,2293990
TR,TÜRKIYE,0,0,51000,2476987
US,UNITED STATES,0,0,266000,13896962
VN,VIETNAM,30000,1488092,667000,33304032
SUM,SUM,7056594,335459689,55173589,2680698046
