"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'FOB (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,2400,164223
BD,BANGLADESH,0,0,2500,155026
BN,BRUNEI DARUSSALAM,0,0,16000,882125
KH,CAMBODIA,0,0,500,38529
CN,CHINA,200,19203,700,24341
DE,GERMANY,1,160,1,160
HK,HONG KONG,0,0,2794,213208
IN,INDIA,0,0,12049,846136
ID,INDONESIA,367000,20364861,3745700,195304931
JP,JAPAN,14100,1067090,27385,3178096
KR,"KOREA,REPUBLIC OF",0,0,24100,1353445
MY,MALAYSIA,12000,1015824,80100,6699923
SG,SINGAPORE,2,80,2,80
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2850,122531
US,UNITED STATES,0,0,2005,288167
VN,VIETNAM,0,0,125000,3421219
SUM,SUM,393303,22467218,4044086,212692140
