"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'FOB (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'FOB (Baht)')"
CN,CHINA,1650,340219,84013,7340603
HK,HONG KONG,0,0,8700,456651
IN,INDIA,13150,1733171,15200,2069299
ID,INDONESIA,14800,1796345,175750,23449224
JP,JAPAN,0,0,300,16566
KR,"KOREA,REPUBLIC OF",4000,630436,145000,15880132
LA,LAO PDR,11000,359500,119220,4636194
MY,MALAYSIA,0,0,300,9000
MX,MEXICO,0,0,25,4642
PK,PAKISTAN,59725,4700033,168250,13606610
PH,PHILIPPINES,13250,636205,146400,7849443
TW,"TAIWAN, PROVINCE OF CHINA",3000,325625,3000,325625
US,UNITED STATES,0,0,5500,284698
VN,VIETNAM,0,0,294648,14702394
SUM,SUM,120575,10521534,1166306,90631081
