"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2021', 'Quantity')","('Dec 2021', 'FOB (Baht)')","('Jan - Dec 2021', 'Quantity')","('Jan - Dec 2021', 'FOB (Baht)')"
AU,AUSTRALIA,28000,3648882,256016,36073806
CA,CANADA,1,195,3,2903
CN,CHINA,193397,9765831,11756843,235727527
FR,FRANCE,601,206485,601,206485
DE,GERMANY,127,12242,127,12242
HK,HONG KONG,4,1612,5,1702
IN,INDIA,602,36778,34602,1493960
ID,INDONESIA,0,0,12034,891179
JP,JAPAN,102856,4658815,1417514,61057530
KR,"KOREA,REPUBLIC OF",10275,753640,51892,3738575
KW,KUWAIT,1,4390,1,4390
MY,MALAYSIA,0,0,1961,233338
MX,MEXICO,32,1464,32,1464
NO,NORWAY,0,0,10,6186
PK,PAKISTAN,5000,601733,5000,601733
PT,PORTUGAL,50,1828,50,1828
SG,SINGAPORE,0,0,9,17787
ES,SPAIN,1,488,1,488
LK,SRI LANKA,9,325,9,325
TW,"TAIWAN, PROVINCE OF CHINA",0,0,84,25109
TR,TÜRKIYE,0,0,34550,2459780
AE,UNITED ARAB EMIRATES,10000,1089683,10000,1089683
US,UNITED STATES,186,153798,655,292407
VN,VIETNAM,50402,4820152,240652,20089231
SUM,SUM,401544,25758341,13822651,364029658
