"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'FOB (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'FOB (Baht)')"
CN,CHINA,0,0,2300,146446
HK,HONG KONG,1,141,671,92612
ID,INDONESIA,0,0,11500,780943
MY,MALAYSIA,0,0,25,2023
MM,MYANMAR,0,0,13000,479050
PH,PHILIPPINES,0,0,350,20560
SG,SINGAPORE,265,11357,402,20134
US,UNITED STATES,1,177,1,177
VN,VIETNAM,0,0,3000,193649
SUM,SUM,267,11675,31249,1735594
