"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2013', 'Quantity')","('Sept 2013', 'FOB (Baht)')","('Jan - Sept 2013', 'Quantity')","('Jan - Sept 2013', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,3908,371460
KH,CAMBODIA,153209,32273950,716732,147145450
CA,CANADA,0,0,3000,106331
CN,CHINA,100000,1197140,107040,1978816
DK,DENMARK,0,31,0,31
FR,FRANCE,100,15171,333,50662
DE,GERMANY,0,0,159,24793
GH,GHANA,0,0,1,29
GR,GREECE,0,0,1,244
HK,HONG KONG,36,21871,6312,818313
IN,INDIA,0,0,0,29
ID,INDONESIA,0,0,20075,369951
IL,ISRAEL,0,0,0,30
JP,JAPAN,0,0,63912,8092532
KE,KENYA,0,0,14250,883879
KR,"KOREA,REPUBLIC OF",0,0,47,4350
LA,LAO PDR,0,0,1739,75800
LT,LITHUANIA,0,0,0,203
MY,MALAYSIA,3001,306679,13251,1454486
MM,MYANMAR,0,0,204,24600
NC,NEW CALEDONIA,0,0,0,158
NG,NIGERIA,15000,964676,30000,1921513
PK,PAKISTAN,0,0,5000,516115
PH,PHILIPPINES,0,0,640,84388
SA,SAUDI ARABIA,0,313,1,619
SG,SINGAPORE,2000,200477,19717,2126245
LK,SRI LANKA,4050,256667,45050,2654882
CH,SWITZERLAND,0,981,0,981
TW,"TAIWAN, PROVINCE OF CHINA",0,0,34,4558
AE,UNITED ARAB EMIRATES,0,0,0,174
GB,UNITED KINGDOM,0,0,16,3604
US,UNITED STATES,0,156,45,72758
VN,VIETNAM,3000,229640,13608,1198755
ZW,ZIMBABWE,0,0,150,2953
SUM,SUM,280396,35467752,1065225,169989692
