"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2012', 'Quantity')","('Oct 2012', 'FOB (Baht)')","('Jan - Oct 2012', 'Quantity')","('Jan - Oct 2012', 'FOB (Baht)')"
AU,AUSTRALIA,221400,14081625,2080635,132877846
AT,AUSTRIA,0,0,1030,38200
BD,BANGLADESH,133000,6305080,1637900,86244682
CN,CHINA,8211539,421618482,94437689,4980900852
DJ,DJIBOUTI,0,0,102000,3039229
ET,ETHIOPIA,0,0,220000,6585217
FJ,FIJI,15000,757394,27750,1445619
DE,GERMANY,0,0,2350,99570
GH,GHANA,0,0,33075,866846
HK,HONG KONG,250895,8251289,2937865,137874654
IN,INDIA,754350,39050172,8475550,464220252
ID,INDONESIA,977585,46297899,13664570,646218259
JP,JAPAN,2058150,129067532,19497818,1176598130
KE,KENYA,0,0,17000,447886
KR,"KOREA,REPUBLIC OF",1403200,79764257,15780815,934660503
LA,LAO PDR,0,0,274650,9010635
LB,LEBANON,0,0,1500,188605
MY,MALAYSIA,1764375,80606917,31222206,1386328067
MV,MALDIVES,1,128,1,128
ML,MALI,0,0,16000,292764
MU,MAURITIUS,0,0,101350,2849823
MM,MYANMAR,0,0,4885,302844
NZ,NEW ZEALAND,19800,1366064,192681,16835283
PK,PAKISTAN,0,0,16300,1131886
PG,PAPUA NEW GUINEA,0,0,2000,177219
PE,PERU,0,0,288000,11706642
PH,PHILIPPINES,688150,31583907,11049712,480374691
RU,RUSSIAN FEDERATION,0,0,347,67098
SA,SAUDI ARABIA,0,0,2950,367758
SG,SINGAPORE,198105,11807091,2332767,139936535
LK,SRI LANKA,19800,1088934,107825,6316972
TW,"TAIWAN, PROVINCE OF CHINA",354650,18311664,4043159,211803901
TZ,TANZANIA UNITED REPUBLIC OF,0,0,17000,519802
TR,TÜRKIYE,0,0,16000,634086
AE,UNITED ARAB EMIRATES,113,14232,25113,2733554
GB,UNITED KINGDOM,0,0,168,4450
US,UNITED STATES,96000,1562895,256209,4608829
VN,VIETNAM,129205,7611900,1180868,70977986
SUM,SUM,17295318,899147462,210067738,10919287303
