"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
AU,AUSTRALIA,3,11389,3,11389
HK,HONG KONG,0,0,342,11760
ID,INDONESIA,10000,516188,85400,4501751
LA,LAO PDR,3000,135706,14501,709001
MM,MYANMAR,0,0,13000,539500
NO,NORWAY,0,0,50,2500
PK,PAKISTAN,10500,550286,28200,1495061
PH,PHILIPPINES,0,0,19325,1113969
SG,SINGAPORE,0,0,21,593
TW,"TAIWAN, PROVINCE OF CHINA",6000,338660,9000,521901
US,UNITED STATES,0,0,26,862
SUM,SUM,29503,1552229,169868,8908287
