"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'FOB (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'FOB (Baht)')"
AU,AUSTRALIA,1126280,51229371,5391300,250351651
BD,BANGLADESH,105750,4254297,1612700,64226966
BE,BELGIUM,189000,6972510,1944450,102834524
BT,BHUTAN,0,0,148500,5471114
CN,CHINA,21546590,1045250422,163633450,7633599637
DJ,DJIBOUTI,46500,1950593,62000,2583074
FJ,FIJI,16500,704635,16500,704635
DE,GERMANY,40,12109,117040,6460348
HK,HONG KONG,10000,696666,315000,19523689
IN,INDIA,2246550,96449004,25839175,1082365289
ID,INDONESIA,5935495,254575393,30498990,1298068233
IR,IRAN (ISLAMIC REPUBLIC OF),12000,863365,12000,863365
IT,ITALY,0,0,11000,613665
JP,JAPAN,10536075,478086445,41132525,1962894380
KZ,KAZAKHSTAN,0,0,31000,1285547
KR,"KOREA,REPUBLIC OF",1390900,78437331,5488370,302509643
MY,MALAYSIA,1645970,73642394,7422357,333967448
MM,MYANMAR,49500,1703742,453750,15753501
NP,NEPAL,0,0,371250,13865391
NZ,NEW ZEALAND,533720,25159113,2940485,138099861
NG,NIGERIA,148500,6082055,198000,8046284
PK,PAKISTAN,171000,7405867,989725,42321057
PH,PHILIPPINES,587750,24322160,5537875,224457329
RE,REUNION,0,0,3500,150213
RU,RUSSIAN FEDERATION,173500,7204419,173500,7204419
SG,SINGAPORE,450,48849,1192725,72236027
ZA,SOUTH AFRICA,78500,3285719,78500,3285719
ES,SPAIN,100,17805,100,17805
LK,SRI LANKA,118250,4915084,789250,33170730
TW,"TAIWAN, PROVINCE OF CHINA",861200,43427239,4512950,215973114
UA,UKRAINE,15500,666625,15500,666625
US,UNITED STATES,22750,2032076,281250,24291091
VN,VIETNAM,581100,33991009,4411650,245504690
SUM,SUM,48149470,2253386297,305626367,14113367064
