"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'FOB (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,41000,1732366
CN,CHINA,24075,2271852,707470,22739069
IN,INDIA,34000,4034478,145525,14948436
ID,INDONESIA,32600,1688353,480500,23087668
JP,JAPAN,100,1133,30100,1323910
KR,"KOREA,REPUBLIC OF",5000,520250,16000,1686775
MX,MEXICO,0,0,102000,4583703
PK,PAKISTAN,0,0,2450,224322
TW,"TAIWAN, PROVINCE OF CHINA",0,0,175,26256
TG,TOGO,0,0,32500,784169
VN,VIETNAM,2200,115489,46327,2499000
SUM,SUM,97975,8631555,1604047,73635674
