"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'FOB (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'FOB (Baht)')"
AO,ANGOLA,35000,842127,35000,842127
AU,AUSTRALIA,881000,23642712,4871700,146455970
BH,BAHRAIN,0,0,49500,1404459
BD,BANGLADESH,155000,5019839,1431000,42209202
BR,BRAZIL,0,0,750,30642
KH,CAMBODIA,921700,28685264,4551525,143312667
CA,CANADA,92000,3052932,650275,21553744
CN,CHINA,29393160,741360019,125500825,3283738685
CG,CONGO,0,0,210000,5386999
CI,COTE D IVOIRE,322000,7928181,364000,9174670
CZ,CZECH REPUBLIC,0,0,23950,1004236
DJ,DJIBOUTI,192500,5159010,1545800,41657852
FJ,FIJI,37400,1381595,184675,6309342
FI,FINLAND,0,0,72000,2184411
FR,FRANCE,0,0,275975,9278716
PF,FRENCH POLYNESIA,0,0,141975,4508690
GA,GABON,13500,435658,72000,2268304
GM,GAMBIA,17500,404442,17500,404442
DE,GERMANY,158000,6266922,1610125,62197588
GH,GHANA,102000,4304138,152600,6516064
GR,GREECE,72000,2892251,182450,7071424
IN,INDIA,297500,8677092,1963900,64660594
ID,INDONESIA,5405950,127786419,28370275,715587306
IL,ISRAEL,929550,23642440,2907950,86633316
JP,JAPAN,1888500,47362282,11363324,315679679
KZ,KAZAKHSTAN,280000,6801725,454000,11204252
KE,KENYA,247500,5963287,957700,25622642
KR,"KOREA,REPUBLIC OF",18000,1868676,160000,13772348
LA,LAO PDR,199000,5202866,742275,20519291
LV,LATVIA,0,0,51000,1589259
LT,LITHUANIA,0,0,50650,1834556
MG,MADAGASCAR,0,0,119000,3989444
MY,MALAYSIA,1845950,45708776,11311925,298057090
MU,MAURITIUS,74825,2828751,375325,14748362
MX,MEXICO,4000,534212,19300,2499560
MZ,MOZAMBIQUE,87500,2019600,154700,3965726
MM,MYANMAR,861225,22770407,3508700,103139455
nan,NAMIBIA,52200,1871579,52400,1877168
NL,NETHERLANDS,22000,892582,378175,15214724
NC,NEW CALEDONIA,30500,863022,175000,5359591
NZ,NEW ZEALAND,888000,27087827,3612425,115517283
NG,NIGERIA,0,0,1020000,21851480
OM,OMAN,0,0,24750,744832
PK,PAKISTAN,0,0,54900,2132194
PG,PAPUA NEW GUINEA,0,0,33150,1317663
PH,PHILIPPINES,841500,21185621,4356125,116737648
PL,POLAND,173250,4927494,555500,16684020
QA,QATAR,210000,5468283,455000,12406448
RE,REUNION,0,0,132000,4945910
RO,ROMANIA,0,0,90000,3148011
RU,RUSSIAN FEDERATION,102000,2926460,979075,28365234
WS,SAMOA,0,0,14200,581817
SA,SAUDI ARABIA,0,0,17500,550041
SN,SENEGAL,0,0,306625,12496411
SG,SINGAPORE,40000,2587140,320750,16199808
SB,SOLOMON ISLANDS,0,0,13925,581763
SO,SOMALIA,0,0,119800,3848401
ZA,SOUTH AFRICA,162000,4028131,765600,21685229
LK,SRI LANKA,52800,1491107,268100,8138864
SE,SWEDEN,72000,2560517,167800,6488155
TW,"TAIWAN, PROVINCE OF CHINA",169350,4625033,592850,19961492
TZ,TANZANIA UNITED REPUBLIC OF,35000,880909,35000,880909
TL,TIMOR-LESTE,14200,584423,19200,803143
TG,TOGO,16000,379907,124000,3094608
TR,TÜRKIYE,28400,1121245,95950,4101181
UA,UKRAINE,188000,4994338,1009000,30786282
AE,UNITED ARAB EMIRATES,176500,5055064,1612200,45389523
GB,UNITED KINGDOM,321750,9366303,1014750,28909984
US,UNITED STATES,22000,731321,22000,731321
VN,VIETNAM,5294650,138843751,33115325,907062583
YE,YEMEN,74250,1725394,205000,5389712
SUM,SUM,53518610,1376739074,256211724,6944996547
