"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2013', 'Quantity')","('Nov 2013', 'FOB (Baht)')","('Jan - Nov 2013', 'Quantity')","('Jan - Nov 2013', 'FOB (Baht)')"
BD,BANGLADESH,0,0,7200,397144
CN,CHINA,100,15340,100,15340
HK,HONG KONG,500,43431,31173,1811998
IN,INDIA,0,0,30530,1943047
ID,INDONESIA,412000,18865122,4134550,181746917
JP,JAPAN,2500,93993,18910,1141973
KR,"KOREA,REPUBLIC OF",1000,40500,1050,47125
MY,MALAYSIA,0,0,112800,8645468
PK,PAKISTAN,0,0,4000,256574
TW,"TAIWAN, PROVINCE OF CHINA",0,0,858,11266
US,UNITED STATES,0,0,2010,273097
VN,VIETNAM,0,0,200,17125
SUM,SUM,416100,19058386,4343381,196307074
