"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'FOB (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'FOB (Baht)')"
KH,CAMBODIA,3675,44100,5425,79600
CN,CHINA,1287000,52989161,4630019,195585703
HK,HONG KONG,0,0,2310,2007
IN,INDIA,412,286638,2037,1435597
ID,INDONESIA,0,0,30025,1742596
JP,JAPAN,3000,85132,6200,98525
KR,"KOREA,REPUBLIC OF",0,0,1025,31849
MY,MALAYSIA,22120,1140923,301104,17185696
PH,PHILIPPINES,0,0,91133,3995147
SUM,SUM,1316207,54545954,5069278,220156720
