"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'FOB (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'FOB (Baht)')"
CN,CHINA,0,0,121000,5398280
HK,HONG KONG,0,0,9600,563882
IN,INDIA,0,0,6150,494071
ID,INDONESIA,26600,4193419,290625,42645136
JP,JAPAN,0,0,1350,128263
LA,LAO PDR,0,0,217500,9802875
PK,PAKISTAN,0,0,4475,251483
PH,PHILIPPINES,23000,1307103,139000,7576287
TW,"TAIWAN, PROVINCE OF CHINA",0,0,6000,395097
US,UNITED STATES,0,0,550,42706
VN,VIETNAM,66000,3315113,540000,26410421
SUM,SUM,115600,8815635,1336250,93708501
