"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'FOB (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,50,29095
CN,CHINA,102900,1863100,570021,12677079
DE,GERMANY,0,0,44,5608
IN,INDIA,128000,4978794,597000,24271532
ID,INDONESIA,0,0,379,511836
IT,ITALY,0,0,74,10114
JP,JAPAN,0,0,196,44425
KR,"KOREA,REPUBLIC OF",111,15171,277,15366
LA,LAO PDR,9262,617389,61087,5573407
MY,MALAYSIA,0,0,0,327
MM,MYANMAR,0,0,256,106000
SG,SINGAPORE,111,15171,2111,138673
ZA,SOUTH AFRICA,0,0,52,14953
LK,SRI LANKA,0,0,9000,445445
TZ,TANZANIA UNITED REPUBLIC OF,0,0,10000,510406
SUM,SUM,240384,7489625,1250547,44354266
