"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'FOB (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'FOB (Baht)')"
CN,CHINA,48525,4374316,84325,7255507
IN,INDIA,184000,15154903,589180,49645665
ID,INDONESIA,0,0,25000,3561890
JP,JAPAN,0,0,1000,47066
MY,MALAYSIA,8000,720138,8004,721611
PH,PHILIPPINES,63850,4657645,309125,23445286
SG,SINGAPORE,0,0,200,19334
US,UNITED STATES,0,0,400,29619
VN,VIETNAM,700,22403,700,22403
SUM,SUM,305075,24929405,1017934,84748381
