"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'FOB (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'FOB (Baht)')"
AU,AUSTRALIA,15000,741230,15000,741230
BD,BANGLADESH,204000,9576157,935000,44202148
BE,BELGIUM,0,0,300,1018966
CN,CHINA,12606000,631754549,45126558,2203728551
IN,INDIA,1242000,61636426,5100500,244524753
ID,INDONESIA,115000,5731743,564394,27592118
JP,JAPAN,0,0,12000,712380
LA,LAO PDR,0,0,18,41810
MY,MALAYSIA,17000,844008,58590,3391208
PK,PAKISTAN,0,0,66000,3213811
PH,PHILIPPINES,6250,401374,21000,1523813
SG,SINGAPORE,0,0,15220,766165
LK,SRI LANKA,0,0,17000,789737
TW,"TAIWAN, PROVINCE OF CHINA",34000,1709171,35000,1767535
AE,UNITED ARAB EMIRATES,0,0,150,75416
US,UNITED STATES,0,0,83000,4095159
VN,VIETNAM,140000,6837314,345195,16739781
SUM,SUM,14379250,719231972,52394925,2554924581
