"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'FOB (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'FOB (Baht)')"
AU,AUSTRALIA,11000,1060759,88000,8150559
CN,CHINA,204600,6442842,954573,39298674
CI,COTE D IVOIRE,0,0,178500,6565569
HK,HONG KONG,0,0,176000,7021529
IN,INDIA,10000,390420,20200,786708
ID,INDONESIA,39000,2396794,484400,22376463
JP,JAPAN,15100,805954,61700,3206973
KR,"KOREA,REPUBLIC OF",3000,327621,8000,851446
MX,MEXICO,0,0,105000,4795738
PK,PAKISTAN,0,0,375,61368
TW,"TAIWAN, PROVINCE OF CHINA",0,0,200,32000
TR,TÜRKIYE,0,0,51,497
VN,VIETNAM,63000,2517156,374200,15217318
SUM,SUM,345700,13941546,2451199,108364842
