"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'FOB (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'FOB (Baht)')"
AR,ARGENTINA,42000,2937823,351200,24829834
AU,AUSTRALIA,217070,9435928,609019,34153437
AT,AUSTRIA,0,0,1000,45818
BD,BANGLADESH,16000,356386,42500,1049364
KH,CAMBODIA,0,0,19000,858842
CM,CAMEROON,0,0,37250,230554
CN,CHINA,8578005,137959331,77185553,1595627291
FJ,FIJI,0,0,10550,330785
DE,GERMANY,0,0,1295,56029
HK,HONG KONG,77817,928729,234088,2106742
IN,INDIA,303525,8863386,2417225,60383907
ID,INDONESIA,171025,7138800,969230,40418096
IE,IRELAND,0,0,1,90
IL,ISRAEL,0,0,600,40725
IT,ITALY,0,0,25,778
JP,JAPAN,238278,9574095,582880,26014776
KR,"KOREA,REPUBLIC OF",1034,32968,47534,2638129
LA,LAO PDR,12500,693035,49159,2959260
LU,LUXEMBOURG,0,0,200,3223
MY,MALAYSIA,25186,1957420,233121,21169921
MU,MAURITIUS,0,0,27000,717188
YT,MAYOTTE,0,0,1,150
MM,MYANMAR,0,0,26524,1282240
NP,NEPAL,0,0,28000,416500
NZ,NEW ZEALAND,30880,2185635,130440,9487810
PK,PAKISTAN,10900,676121,23525,1465733
PH,PHILIPPINES,16200,1060951,132645,6955518
SG,SINGAPORE,12000,1083554,118286,11929866
SI,SLOVENIA,137860,3947248,1426090,35505958
ZA,SOUTH AFRICA,35750,2158601,112500,8250179
LK,SRI LANKA,49500,1734972,54511,2534000
CH,SWITZERLAND,0,0,27,317
TW,"TAIWAN, PROVINCE OF CHINA",124000,4960971,1357000,52272919
TG,TOGO,0,0,1000,158295
TR,TÜRKIYE,48150,2690368,84250,5975840
UA,UKRAINE,0,0,2000,308275
AE,UNITED ARAB EMIRATES,0,0,72300,4338957
GB,UNITED KINGDOM,0,0,27100,358424
US,UNITED STATES,0,21,18790,191899
VN,VIETNAM,36595,2981661,502766,36584763
SUM,SUM,10184275,203358004,86936185,1991652432
