"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'FOB (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'FOB (Baht)')"
AO,ANGOLA,0,0,191050,8955186
AR,ARGENTINA,0,0,108000,4127127
AU,AUSTRALIA,1119200,48598325,5410375,237672985
BH,BAHRAIN,0,0,172800,7691386
BD,BANGLADESH,472700,22832003,2771500,128278626
BE,BELGIUM,136000,6002106,1525000,66802521
BR,BRAZIL,0,0,54000,2198896
BN,BRUNEI DARUSSALAM,5000,204711,7000,293900
KH,CAMBODIA,745675,37268438,3559275,175321636
CM,CAMEROON,72000,2821045,486000,19038999
CA,CANADA,176000,9778927,569500,30538490
CV,CAPE VERDE,0,0,27000,1281625
CL,CHILE,0,0,202500,8981668
CN,CHINA,6722590,307747660,52003505,2297963391
CO,COLOMBIA,0,0,18000,818114
CG,CONGO,14000,829493,41975,2396641
CI,COTE D IVOIRE,216000,8031535,1188050,46262711
DK,DENMARK,0,0,34000,1456030
DJ,DJIBOUTI,144000,6223812,720000,30799663
EC,ECUADOR,0,0,35000,1511545
EG,EGYPT,0,0,46500,2039700
FJ,FIJI,49400,2588768,290500,15106570
FI,FINLAND,0,0,1375,62847
FR,FRANCE,0,0,429000,21898058
PF,FRENCH POLYNESIA,22500,1102459,76400,3994919
GA,GABON,0,0,152600,6342684
GM,GAMBIA,0,0,67800,3114894
DE,GERMANY,440000,22567464,2929575,150670871
GH,GHANA,126000,4960285,3359100,131935542
GR,GREECE,48000,2934174,192750,9699128
GN,GUINEA,0,0,14000,826715
HK,HONG KONG,17000,761487,17100,765757
IN,INDIA,520000,24177153,3077325,146757020
ID,INDONESIA,3783100,159567690,30519805,1302002613
IL,ISRAEL,733425,36229827,6356850,304557932
JP,JAPAN,2399475,98989820,15089500,621492679
KZ,KAZAKHSTAN,0,0,450000,19419400
KE,KENYA,0,0,1050625,51852197
KR,"KOREA,REPUBLIC OF",36000,4239762,216400,26187030
LA,LAO PDR,37000,1640441,276077,11925720
LV,LATVIA,0,0,52325,2592574
MG,MADAGASCAR,27000,1404656,136300,7192528
MY,MALAYSIA,1255700,54345729,7859450,336524861
MV,MALDIVES,14000,605373,14000,605373
ML,MALI,0,0,108000,5371206
MU,MAURITIUS,136025,7097698,638375,33376169
MZ,MOZAMBIQUE,229400,9709550,927800,39256677
MM,MYANMAR,193500,7861313,1667750,71950258
NL,NETHERLANDS,22000,1121685,224000,11676155
NC,NEW CALEDONIA,45250,2234194,179475,8597145
NZ,NEW ZEALAND,288000,12500486,2398500,103800991
NG,NIGERIA,513600,13086063,1273600,28258199
OM,OMAN,0,0,369600,16451744
PK,PAKISTAN,4000,438850,187300,10668013
PG,PAPUA NEW GUINEA,36000,1538752,276000,12701264
PE,PERU,0,0,342000,14244294
PH,PHILIPPINES,394975,17589029,2438700,108259287
PL,POLAND,52500,2421744,437500,20119698
PT,PORTUGAL,0,0,64500,2992590
QA,QATAR,0,0,113575,6729368
RE,REUNION,55000,2821375,276500,13949192
RO,ROMANIA,0,0,49000,2239525
RU,RUSSIAN FEDERATION,408000,17580972,2479125,107676872
SN,SENEGAL,87600,4460434,335225,17054459
SC,SEYCHELLES,0,0,10000,780714
SL,SIERRA LEONE,27000,1360482,324000,14826414
SG,SINGAPORE,70125,3173157,532675,23333019
SK,SLOVAKIA,0,0,48750,2080392
SI,SLOVENIA,0,0,408000,16401594
SO,SOMALIA,0,0,8006,832216
ZA,SOUTH AFRICA,670000,29305022,2647525,111584091
ES,SPAIN,0,0,146250,6477158
LK,SRI LANKA,0,0,695825,32204040
SD,SUDAN,0,0,13500,650878
SE,SWEDEN,94475,5567648,116950,6905016
CH,SWITZERLAND,0,0,200,8319
TW,"TAIWAN, PROVINCE OF CHINA",34000,2325781,334850,16919520
TZ,TANZANIA UNITED REPUBLIC OF,0,0,95900,4271461
TG,TOGO,360000,14252221,2088000,81245177
TR,TÜRKIYE,28400,1634083,709075,37563934
UA,UKRAINE,102000,4226355,605400,27767659
AE,UNITED ARAB EMIRATES,54000,2345658,1855600,84160723
GB,UNITED KINGDOM,0,0,83000,3590727
US,UNITED STATES,0,0,50,1974
UY,URUGUAY,0,0,10000,418512
VN,VIETNAM,2054800,93587630,12004035,544900018
YE,YEMEN,0,0,35300,1665441
SUM,SUM,25292415,1124693325,179359303,7903920855
