"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'FOB (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'FOB (Baht)')"
AO,ANGOLA,0,0,49500,1516465
AU,AUSTRALIA,999100,38343192,7724120,289593134
BD,BANGLADESH,0,0,447400,14508873
BE,BELGIUM,0,0,90000,5012468
KH,CAMBODIA,24750,760992,99000,2602012
CN,CHINA,30570446,1424536133,417598731,17108740705
DJ,DJIBOUTI,0,0,81500,2594243
FJ,FIJI,33000,1067211,61000,1951300
PF,FRENCH POLYNESIA,0,0,8000,259400
GH,GHANA,49500,1562519,198000,5982078
HK,HONG KONG,31917,1128835,318662,12946076
IN,INDIA,1170850,51003653,9698910,411070039
ID,INDONESIA,4822610,170620278,60676630,2069815349
JP,JAPAN,3459350,135134217,57273800,2077559422
KR,"KOREA,REPUBLIC OF",436220,23353509,3939785,193446345
LA,LAO PDR,0,0,4000,137408
MY,MALAYSIA,329850,13280440,6789470,253500352
MU,MAURITIUS,33000,1141731,75000,2314494
MM,MYANMAR,0,0,321700,7967019
NZ,NEW ZEALAND,467070,18396957,4634815,174650956
PK,PAKISTAN,0,0,202600,7936333
PH,PHILIPPINES,295800,10172216,8778800,271261489
PT,PORTUGAL,50000,1423566,350000,8697099
RE,REUNION,0,0,3000,87264
SN,SENEGAL,0,0,49500,1532081
SG,SINGAPORE,146200,4681255,2255550,105266029
ES,SPAIN,0,0,100,3452
LK,SRI LANKA,0,0,351000,12221634
TW,"TAIWAN, PROVINCE OF CHINA",829350,30913635,8533250,304776630
TR,TÜRKIYE,0,0,25000,735832
AE,UNITED ARAB EMIRATES,0,0,16500,517148
US,UNITED STATES,4000,128740,472800,36422650
VN,VIETNAM,464550,24589047,7673575,335762210
SUM,SUM,44217563,1952238126,598801698,23721387989
