"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'FOB (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'FOB (Baht)')"
KH,CAMBODIA,0,0,49450,697600
CN,CHINA,0,0,1703525,74457745
HK,HONG KONG,0,0,1,97
IN,INDIA,0,0,2669,1720030
ID,INDONESIA,0,0,2000,91632
JP,JAPAN,0,0,100,4739
KR,"KOREA,REPUBLIC OF",0,0,1320,18004
MY,MALAYSIA,66345,3575747,362597,18361266
PH,PHILIPPINES,0,0,35201,1758654
LK,SRI LANKA,0,0,2000,81486
SUM,SUM,66345,3575747,2158863,97191253
