"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'FOB (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'FOB (Baht)')"
AU,AUSTRALIA,15000,1244926,275000,20142761
BD,BANGLADESH,0,0,2675,256442
BR,BRAZIL,24000,1936471,96000,7638036
CN,CHINA,59225,5385168,890816,73744037
EG,EGYPT,39975,2319722,702075,38137858
FI,FINLAND,0,0,4,971
GA,GABON,0,0,49500,1446290
GH,GHANA,32500,790126,161750,3969742
HK,HONG KONG,0,0,6800,621035
IN,INDIA,557010,47549626,5102529,430757739
ID,INDONESIA,264750,21223596,3836343,306432252
IT,ITALY,0,0,1000,109331
JP,JAPAN,2726,402944,110319,11734926
KE,KENYA,0,0,24000,815931
KR,"KOREA,REPUBLIC OF",0,0,63446,5200590
LA,LAO PDR,0,0,500,15543
LU,LUXEMBOURG,0,0,90,4640
MG,MADAGASCAR,0,0,460275,12381512
MW,MALAWI,0,0,54000,1408111
MY,MALAYSIA,36108,4405341,952772,71160288
MV,MALDIVES,0,0,204,24800
MM,MYANMAR,2000,173200,4000,346400
NL,NETHERLANDS,0,70,0,208
NZ,NEW ZEALAND,0,0,1000,300700
PK,PAKISTAN,0,0,28000,2335659
PH,PHILIPPINES,3360,879614,90537,12685833
SA,SAUDI ARABIA,500,36482,352000,24708926
SG,SINGAPORE,0,0,475,4784
ZA,SOUTH AFRICA,28000,1358172,255508,14721587
LK,SRI LANKA,0,0,64000,1740576
TW,"TAIWAN, PROVINCE OF CHINA",5350,369398,422040,45189238
TR,TÜRKIYE,0,0,20,187178
AE,UNITED ARAB EMIRATES,114000,5999466,786000,49103018
US,UNITED STATES,1,70,157442,11162069
VN,VIETNAM,31426,2478975,1269678,75608382
SUM,SUM,1215931,96553367,16220798,1224097393
