"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'FOB (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,10000,895630
CN,CHINA,5300,634866,335170,34199242
IN,INDIA,255950,21374982,2534035,197834647
ID,INDONESIA,0,0,357525,26084665
JP,JAPAN,600,28119,6875,467706
KR,"KOREA,REPUBLIC OF",0,0,3650,507152
MY,MALAYSIA,12000,1047247,210950,20039822
PH,PHILIPPINES,4000,263968,115475,8167358
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12000,852103
SUM,SUM,277850,23349182,3585680,289048325
