"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'FOB (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'FOB (Baht)')"
AR,ARGENTINA,118000,8945556,221000,16685620
CN,CHINA,2750,143608,3075,186844
IN,INDIA,5000,457665,5000,457665
ID,INDONESIA,42000,2857955,78400,5291400
JP,JAPAN,13050,1094019,22094,2041296
PK,PAKISTAN,0,0,2500,290059
SG,SINGAPORE,2000,311546,2000,311546
TW,"TAIWAN, PROVINCE OF CHINA",0,16,238,82584
VN,VIETNAM,44000,3285616,103025,7167318
SUM,SUM,226800,17095981,437332,32514332
