"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'FOB (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'FOB (Baht)')"
AR,ARGENTINA,0,0,1,99
AU,AUSTRALIA,0,0,750,38047
CA,CANADA,0,0,1428,457433
CN,CHINA,100,4988,22650,1102863
IN,INDIA,0,0,359,41112
ID,INDONESIA,31000,2094314,394769,33214047
JP,JAPAN,600,49346,8536,823750
KE,KENYA,0,0,16250,438873
KR,"KOREA,REPUBLIC OF",0,0,100,6854
MY,MALAYSIA,0,0,73145,2502935
PK,PAKISTAN,0,0,110,30024
SG,SINGAPORE,0,0,1500,169281
ZA,SOUTH AFRICA,700,96202,4900,647587
LK,SRI LANKA,0,0,22,4977
US,UNITED STATES,0,0,300,25365
VN,VIETNAM,105000,5260711,1016525,51763863
SUM,SUM,137400,7505561,1541345,91267110
