"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'FOB (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'FOB (Baht)')"
AR,ARGENTINA,117300,8965780,426800,32296017
AU,AUSTRALIA,0,0,2300,398812
BR,BRAZIL,0,0,100,10577
CN,CHINA,0,0,3275,206192
IN,INDIA,0,64,5000,457729
ID,INDONESIA,32000,2128974,146900,9718468
JP,JAPAN,12900,923685,37594,3118105
KR,"KOREA,REPUBLIC OF",350,2244,350,2244
PK,PAKISTAN,0,0,2500,290059
SG,SINGAPORE,0,0,2000,311546
TW,"TAIWAN, PROVINCE OF CHINA",0,0,238,82584
VN,VIETNAM,52500,2891499,215525,13977128
SUM,SUM,215050,14912246,842582,60869461
