"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'FOB (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'FOB (Baht)')"
AU,AUSTRALIA,1236375,59691315,1236375,59691315
BD,BANGLADESH,18000,697362,18000,697362
KH,CAMBODIA,793875,37888472,793875,37888472
CM,CAMEROON,25500,1300533,25500,1300533
CA,CANADA,96000,4518030,96000,4518030
CN,CHINA,11233550,444882367,11233550,444882367
CG,CONGO,25000,1141169,25000,1141169
FJ,FIJI,14150,815628,14150,815628
FR,FRANCE,191950,10577335,191950,10577335
DE,GERMANY,457531,21516728,457531,21516728
GH,GHANA,102000,5607554,102000,5607554
GR,GREECE,144000,7372423,144000,7372423
IN,INDIA,316150,17915105,316150,17915105
ID,INDONESIA,568500,24832493,568500,24832493
IL,ISRAEL,279500,16005748,279500,16005748
JP,JAPAN,367000,17297569,367000,17297569
KZ,KAZAKHSTAN,140000,6034701,140000,6034701
KR,"KOREA,REPUBLIC OF",25000,2496414,25000,2496414
KW,KUWAIT,24750,1092648,24750,1092648
LA,LAO PDR,66500,2548742,66500,2548742
MG,MADAGASCAR,65950,3641294,65950,3641294
MY,MALAYSIA,1394500,62736764,1394500,62736764
MU,MAURITIUS,138450,8269254,138450,8269254
MZ,MOZAMBIQUE,14200,911336,14200,911336
MM,MYANMAR,575750,25733690,575750,25733690
NL,NETHERLANDS,44000,2748291,44000,2748291
NC,NEW CALEDONIA,13500,652216,13500,652216
NZ,NEW ZEALAND,776800,36425379,776800,36425379
NG,NIGERIA,663000,16125966,663000,16125966
PK,PAKISTAN,40700,1720232,40700,1720232
PH,PHILIPPINES,290000,12114344,290000,12114344
QA,QATAR,297500,13273834,297500,13273834
RE,REUNION,51000,2847749,51000,2847749
SN,SENEGAL,78000,4209237,78000,4209237
SB,SOLOMON ISLANDS,14200,818510,14200,818510
SO,SOMALIA,105600,4679559,105600,4679559
ZA,SOUTH AFRICA,165000,7613174,165000,7613174
LK,SRI LANKA,79800,3615253,79800,3615253
TW,"TAIWAN, PROVINCE OF CHINA",136000,6728464,136000,6728464
TZ,TANZANIA UNITED REPUBLIC OF,26000,1516171,26000,1516171
TT,TRINIDAD AND TOBAGO,204000,10561786,204000,10561786
TR,TÜRKIYE,25500,1469859,25500,1469859
UA,UKRAINE,230800,10431725,230800,10431725
AE,UNITED ARAB EMIRATES,149800,6496396,149800,6496396
GB,UNITED KINGDOM,99000,4285664,99000,4285664
US,UNITED STATES,14875,872286,14875,872286
VN,VIETNAM,666200,28741587,666200,28741587
SUM,SUM,22485456,963472356,22485456,963472356
