"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'FOB (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'FOB (Baht)')"
KH,CAMBODIA,10825,156550,49450,697600
CN,CHINA,20000,1233205,1703525,74457745
HK,HONG KONG,0,0,1,97
IN,INDIA,414,271814,2669,1720030
ID,INDONESIA,0,0,2000,91632
JP,JAPAN,0,0,100,4739
KR,"KOREA,REPUBLIC OF",0,0,1320,18004
MY,MALAYSIA,56326,2916918,296252,14785519
PH,PHILIPPINES,156,9194,35201,1758654
LK,SRI LANKA,0,0,2000,81486
SUM,SUM,87721,4587681,2092518,93615506
