"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'FOB (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'FOB (Baht)')"
AU,AUSTRALIA,31,2068,3908,371154
KH,CAMBODIA,42966,8612500,340063,68158000
CA,CANADA,0,0,3000,106331
CN,CHINA,0,29,7040,781670
GH,GHANA,0,0,1,29
HK,HONG KONG,668,65932,6276,796442
IN,INDIA,0,29,0,29
ID,INDONESIA,0,0,20075,369881
JP,JAPAN,47,4350,63912,8092532
KE,KENYA,0,0,14250,883879
KR,"KOREA,REPUBLIC OF",0,0,47,4350
LA,LAO PDR,0,0,125,11500
MY,MALAYSIA,0,295,6250,709357
NC,NEW CALEDONIA,0,0,0,158
NG,NIGERIA,0,0,15000,956837
PK,PAKISTAN,0,0,5000,516115
PH,PHILIPPINES,0,0,640,84330
SG,SINGAPORE,10,936,13697,1482280
LK,SRI LANKA,0,0,30000,1766846
TW,"TAIWAN, PROVINCE OF CHINA",0,0,31,2930
AE,UNITED ARAB EMIRATES,0,29,0,174
GB,UNITED KINGDOM,0,147,16,3604
US,UNITED STATES,0,0,44,72128
VN,VIETNAM,1000,69553,5258,369499
ZW,ZIMBABWE,0,0,150,2953
SUM,SUM,44722,8755868,534783,85543008
