"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'FOB (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'FOB (Baht)')"
AO,ANGOLA,0,0,33000,1623948
AU,AUSTRALIA,1877150,95317781,7569370,397295200
BD,BANGLADESH,125400,7094841,1563225,84483356
BE,BELGIUM,0,0,920250,47220340
BR,BRAZIL,441000,22492399,1047000,55736652
BN,BRUNEI DARUSSALAM,8000,422124,15000,811676
KH,CAMBODIA,5000,281756,470000,26026038
CM,CAMEROON,49500,2393170,49500,2393170
CL,CHILE,0,0,36000,1866384
CN,CHINA,27384853,1404181748,111961216,5875410836
CO,COLOMBIA,151500,7797662,658500,34121725
CI,COTE D IVOIRE,99000,4818036,99000,4818036
DJ,DJIBOUTI,0,0,198000,10183926
EC,ECUADOR,463500,23295089,991500,50166607
EG,EGYPT,394500,19294626,724500,36468086
ET,ETHIOPIA,0,0,16000,548063
FJ,FIJI,42000,2269415,205000,11175255
FR,FRANCE,96000,4741194,624000,32385420
PF,FRENCH POLYNESIA,0,0,54000,2994982
DE,GERMANY,0,0,1825,96567
GH,GHANA,16500,797723,16500,797723
HK,HONG KONG,746425,37336247,3456875,177184739
IN,INDIA,6381950,339335242,24712685,1311552074
ID,INDONESIA,5823000,312403334,26200106,1427769238
IL,ISRAEL,0,0,17000,895561
JP,JAPAN,10066890,513081046,44850750,2286171975
KZ,KAZAKHSTAN,34000,1763540,136000,7080252
KR,"KOREA,REPUBLIC OF",1616875,83072319,6831175,369683994
KW,KUWAIT,105000,5299265,339000,17582219
LA,LAO PDR,295800,16223015,1561100,84496303
MG,MADAGASCAR,0,0,54000,2867998
MY,MALAYSIA,2288920,121518734,10757438,582929542
MU,MAURITIUS,36000,1832698,191000,10185547
MZ,MOZAMBIQUE,34000,1766101,34000,1766101
MM,MYANMAR,16000,722448,151000,7350377
NC,NEW CALEDONIA,36000,1959488,179000,9770654
NZ,NEW ZEALAND,526360,26593207,4574050,241417989
NG,NIGERIA,276500,13797429,384500,19439556
PK,PAKISTAN,109750,5777346,212750,11490066
PG,PAPUA NEW GUINEA,18000,973981,90000,4910240
PE,PERU,339000,17662776,1876500,98161201
PH,PHILIPPINES,566750,29810855,3110875,168456351
PL,POLAND,0,0,6000,306601
PT,PORTUGAL,51000,2612652,2798000,144337050
RE,REUNION,33500,1770007,173000,9249334
RU,RUSSIAN FEDERATION,0,0,180,12049
SA,SAUDI ARABIA,0,0,1375,85824
SG,SINGAPORE,111500,6600949,625625,36587603
SK,SLOVAKIA,0,0,88000,4425828
SI,SLOVENIA,0,0,322500,15909532
SB,SOLOMON ISLANDS,0,0,13000,704298
ES,SPAIN,42000,5296556,456000,27198590
LK,SRI LANKA,60000,3352612,361375,20162624
CH,SWITZERLAND,0,0,400,21531
TW,"TAIWAN, PROVINCE OF CHINA",2979750,154593925,11128700,597001969
TZ,TANZANIA UNITED REPUBLIC OF,0,0,26000,1497903
TG,TOGO,33000,1606012,33000,1606012
TR,TÜRKIYE,51000,2865736,75000,4273187
UA,UKRAINE,0,0,144000,7239933
AE,UNITED ARAB EMIRATES,170000,8664655,2256000,118016843
US,UNITED STATES,0,0,78250,4296158
VN,VIETNAM,1765241,97239043,9746306,545871664
SUM,SUM,65768114,3410728782,285305901,15056590500
