"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'FOB (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'FOB (Baht)')"
DZ,ALGERIA,0,0,713000,42137048
AO,ANGOLA,95900,5688505,348700,19626099
AU,AUSTRALIA,658600,34714913,2771800,148916549
BD,BANGLADESH,400500,20699690,1192100,60350648
BE,BELGIUM,333500,17536537,1630525,84340168
BJ,BENIN,0,0,17600,939330
BR,BRAZIL,340700,16977248,3037300,149304389
BN,BRUNEI DARUSSALAM,2000,102390,4000,207294
BG,BULGARIA,0,0,34500,1770765
KH,CAMBODIA,344000,19302243,1775625,98070493
CN,CHINA,15415400,775114580,66582905,3378042332
CG,CONGO,50000,2536911,50000,2536911
CI,COTE D IVOIRE,684000,33325723,2340000,114821744
DK,DENMARK,51000,2533984,136000,6818913
DJ,DJIBOUTI,36000,1763540,144000,7107272
EC,ECUADOR,0,0,105000,5536435
FJ,FIJI,5000,251338,64400,3892008
FI,FINLAND,0,0,536000,30457234
FR,FRANCE,184000,9754078,942000,50677132
PF,FRENCH POLYNESIA,0,0,85500,4857536
GA,GABON,13500,752418,27700,1616752
GM,GAMBIA,14000,806207,28000,1635477
DE,GERMANY,253000,15175852,968000,57392143
GH,GHANA,612000,29313092,1998000,97065912
GR,GREECE,72000,3860661,359975,20372850
IN,INDIA,748100,39127374,4241375,215269550
ID,INDONESIA,5859420,300264202,29431465,1517065489
IL,ISRAEL,1001125,54052375,4046274,222209597
JM,JAMAICA,0,0,25500,1513950
JP,JAPAN,1204550,62055841,4679650,245312805
KZ,KAZAKHSTAN,36000,1809646,36000,1809646
KE,KENYA,0,0,204500,11393185
KR,"KOREA,REPUBLIC OF",0,0,1000,53874
LA,LAO PDR,18000,932677,119000,6204896
LV,LATVIA,0,0,56800,3386969
LR,LIBERIA,0,0,26900,1546013
LY,LIBYAN ARAB JAMAHIRIYA,194000,11633667,370800,22297223
LT,LITHUANIA,17500,911306,87700,4654514
MG,MADAGASCAR,0,0,71500,4044398
MY,MALAYSIA,1353250,70852040,4777400,251393557
MV,MALDIVES,0,0,35200,1822024
ML,MALI,0,0,108000,6094434
MU,MAURITIUS,96300,5582263,318900,17847858
MZ,MOZAMBIQUE,142400,7598910,414800,22206621
MM,MYANMAR,69100,3805874,178475,10479442
NL,NETHERLANDS,64000,3655695,177500,10287135
NC,NEW CALEDONIA,36000,1809643,99000,5215559
NZ,NEW ZEALAND,367550,19843606,1447450,81766501
OM,OMAN,0,0,211200,11054390
PK,PAKISTAN,127200,6727245,356000,18548943
PG,PAPUA NEW GUINEA,88000,5589491,162800,10279259
PE,PERU,0,0,85000,4358421
PH,PHILIPPINES,747500,38898830,2164725,112990781
PL,POLAND,0,0,710675,40598804
PT,PORTUGAL,48000,2712449,799500,40660604
RE,REUNION,81000,4642193,228000,13098373
RO,ROMANIA,0,0,192000,10612842
RU,RUSSIAN FEDERATION,986100,51727857,1969800,103609078
SN,SENEGAL,14200,852345,113200,6261474
SL,SIERRA LEONE,0,0,27000,1549440
SG,SINGAPORE,11000,610639,28875,1616049
SI,SLOVENIA,0,0,82500,4530655
SB,SOLOMON ISLANDS,0,0,2500,127380
ZA,SOUTH AFRICA,176200,9008685,764070,40088208
ES,SPAIN,328500,17154349,474750,24749174
LK,SRI LANKA,181300,9587487,618200,32501942
SD,SUDAN,125075,6879750,403675,22595365
SE,SWEDEN,240000,13592337,576000,32701129
TW,"TAIWAN, PROVINCE OF CHINA",3000,316271,133075,7251042
TZ,TANZANIA UNITED REPUBLIC OF,0,0,334400,17417640
TG,TOGO,306000,14877708,1152000,56489497
TR,TÜRKIYE,66600,3794803,1000200,54746870
UA,UKRAINE,254125,13364873,1119325,60222710
AE,UNITED ARAB EMIRATES,234000,11635906,1755500,89933222
GB,UNITED KINGDOM,0,0,24375,1335243
VN,VIETNAM,1449450,75293079,5974785,308327101
SUM,SUM,36239645,1861411326,158311949,8180624310
