"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'FOB (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'FOB (Baht)')"
AU,AUSTRALIA,250,30640,250,30640
CN,CHINA,541542,4314141,1331985,13252549
DO,DOMINICAN REPUBLIC,0,0,24550,627416
DE,GERMANY,0,0,15,446
HK,HONG KONG,300,14400,300,14400
IN,INDIA,99025,2291823,346525,8099072
JP,JAPAN,0,0,4,635
LA,LAO PDR,44,22358,592,229275
MY,MALAYSIA,0,0,1000,120941
MX,MEXICO,100,7385,100,7385
NC,NEW CALEDONIA,460,38400,460,38400
PH,PHILIPPINES,0,61,0,61
CH,SWITZERLAND,0,0,0,54
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24000,271316
TZ,TANZANIA UNITED REPUBLIC OF,0,0,12000,659014
VN,VIETNAM,0,0,40315,1005663
SUM,SUM,641721,6719208,1782096,24357267
