"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'FOB (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'FOB (Baht)')"
AO,ANGOLA,210200,6354258,630200,17446992
AU,AUSTRALIA,1108250,34426874,8875000,266641072
BH,BAHRAIN,0,0,49500,1404459
BD,BANGLADESH,661000,19829358,3827000,109797609
BR,BRAZIL,50000,1409699,50750,1440341
BN,BRUNEI DARUSSALAM,0,0,2000,60684
KH,CAMBODIA,1006125,33704205,7704200,247447568
CA,CANADA,324000,11517051,1522275,51684451
CL,CHILE,150000,4537929,150025,4538084
CN,CHINA,29573510,896450858,201786960,5527018005
CG,CONGO,0,0,315000,8359058
CD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",0,0,2000,68301
CI,COTE D IVOIRE,0,0,469000,11905161
CZ,CZECH REPUBLIC,0,0,23950,1004236
DJ,DJIBOUTI,316000,7791486,2820300,72323639
FJ,FIJI,23200,846997,316950,10618847
FI,FINLAND,0,0,72000,2184411
FR,FRANCE,0,0,275975,9278716
PF,FRENCH POLYNESIA,0,0,269375,8611542
GA,GABON,0,0,152000,4563815
GM,GAMBIA,0,0,17500,404442
DE,GERMANY,476525,19584167,2808500,109567435
GH,GHANA,52500,1303849,545600,16830168
GR,GREECE,95800,4260118,348250,13811043
HK,HONG KONG,17000,525864,18000,560214
IN,INDIA,671200,22035973,4265775,141138559
ID,INDONESIA,8204300,232204746,55003975,1447475675
IL,ISRAEL,238300,8234461,6123825,183868238
JP,JAPAN,2042100,59271212,18754664,522335894
KZ,KAZAKHSTAN,34000,1011266,780000,19741220
KE,KENYA,179300,5939726,1678775,48221603
KR,"KOREA,REPUBLIC OF",20025,2040878,277025,22242820
LA,LAO PDR,153500,4437086,1302150,35803926
LV,LATVIA,0,0,74975,2420931
LT,LITHUANIA,0,0,50650,1834556
MG,MADAGASCAR,24000,892540,210700,7285165
MY,MALAYSIA,3977750,120864655,25348825,706083741
MU,MAURITIUS,142400,5686755,904200,35803719
MX,MEXICO,51000,2177247,82300,6142839
MA,MOROCCO,750,26645,750,26645
MZ,MOZAMBIQUE,53000,1522475,242700,6508017
MM,MYANMAR,394800,11808584,5437675,160517368
nan,NAMIBIA,0,0,52400,1877168
NL,NETHERLANDS,112000,4698567,716175,29319724
NC,NEW CALEDONIA,40500,1331312,304000,9332687
NZ,NEW ZEALAND,1279000,43305057,8028800,263665586
NG,NIGERIA,272000,5814777,2142000,45962385
OM,OMAN,17500,504332,42250,1249164
PK,PAKISTAN,102150,3460480,276800,9620871
PG,PAPUA NEW GUINEA,62800,2516763,252250,10190563
PH,PHILIPPINES,972500,28141823,8443625,229400651
PL,POLAND,74250,2331503,753500,22728358
QA,QATAR,175000,5205043,1074750,30007282
RE,REUNION,11000,460980,218475,8267262
RO,ROMANIA,0,0,105000,3687460
RU,RUSSIAN FEDERATION,13700,632444,1166275,33978713
WS,SAMOA,0,0,14200,581817
SA,SAUDI ARABIA,0,0,17500,550041
SN,SENEGAL,44500,1392136,591625,22382009
SG,SINGAPORE,113150,3485585,532920,22618203
SB,SOLOMON ISLANDS,0,0,27975,1144339
SO,SOMALIA,70400,2213878,204400,6677686
ZA,SOUTH AFRICA,70000,2082017,1178550,32914539
LK,SRI LANKA,78000,2475293,606600,18391883
SE,SWEDEN,0,0,215775,8148158
TW,"TAIWAN, PROVINCE OF CHINA",202150,7185503,1073575,37322668
TZ,TANZANIA UNITED REPUBLIC OF,0,0,218000,6087397
TL,TIMOR-LESTE,0,0,33400,1401142
TG,TOGO,0,0,281500,7627210
TR,TÜRKIYE,78400,2520599,216950,8295890
UA,UKRAINE,117250,3719813,1407750,41982797
AE,UNITED ARAB EMIRATES,262000,7475495,2724300,77025479
GB,UNITED KINGDOM,0,0,1955250,55937764
US,UNITED STATES,44000,1690400,66000,2421721
VN,VIETNAM,6033825,181495159,53667475,1503982052
YE,YEMEN,0,0,205000,5389712
SUM,SUM,60496610,1834835921,442406319,12405191590
