"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'FOB (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'FOB (Baht)')"
AU,AUSTRALIA,72000,4003747,312000,18042201
BD,BANGLADESH,0,0,17100,926650
BN,BRUNEI DARUSSALAM,0,0,31000,1316891
KH,CAMBODIA,4500,275442,13500,815634
CN,CHINA,1400,192753,1702,202535
IN,INDIA,0,0,650,91324
ID,INDONESIA,412000,24277107,3180000,179158760
IQ,IRAQ,0,0,57600,959431
JP,JAPAN,125,6094,1525,64530
MY,MALAYSIA,27000,2258652,111026,9007464
NL,NETHERLANDS,0,0,4865,500348
PK,PAKISTAN,0,0,9500,827567
TW,"TAIWAN, PROVINCE OF CHINA",300,55925,300,55925
US,UNITED STATES,0,0,1302,191329
VN,VIETNAM,200,6544,143150,4173317
SUM,SUM,517525,31076264,3885220,216333906
