"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'FOB (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'FOB (Baht)')"
BD,BANGLADESH,16250,457179,16250,457179
BN,BRUNEI DARUSSALAM,0,0,20000,1023662
JP,JAPAN,38,1,188,4817
TR,TÜRKIYE,6600,557056,30000,2516004
US,UNITED STATES,0,0,37800,3957662
VN,VIETNAM,57000,3849313,209000,13249901
SUM,SUM,79888,4863549,313238,21209225
