"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'FOB (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'FOB (Baht)')"
CN,CHINA,300,10229,64735,2707685
IN,INDIA,3000,433645,125000,17780424
ID,INDONESIA,32000,1436738,148000,15245521
KR,"KOREA,REPUBLIC OF",0,0,2000,262689
MX,MEXICO,0,0,24750,1187755
MM,MYANMAR,0,0,80000,2811501
NZ,NEW ZEALAND,0,0,12000,1379542
TW,"TAIWAN, PROVINCE OF CHINA",15000,293665,15000,293665
VN,VIETNAM,29500,2158762,61500,3294016
SUM,SUM,79800,4333039,532985,44962798
