"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'FOB (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'FOB (Baht)')"
AR,ARGENTINA,48000,3608963,164250,11965757
AU,AUSTRALIA,43000,4216822,224825,19336825
BD,BANGLADESH,0,0,26300,1832827
KH,CAMBODIA,0,0,26040,1574124
CN,CHINA,6159884,177141771,43315507,757335422
FJ,FIJI,300,52627,15300,988122
DE,GERMANY,0,0,403525,44356861
HK,HONG KONG,52,5257,202,32869
IN,INDIA,388373,14550978,3190898,121661525
ID,INDONESIA,212052,11484066,1064304,51682014
IT,ITALY,0,0,10,328
JP,JAPAN,700,81835,235562,16308661
KE,KENYA,0,0,25000,845697
KR,"KOREA,REPUBLIC OF",170498,1275115,1548336,8615481
LA,LAO PDR,28001,2299648,64222,5171407
MY,MALAYSIA,622450,9777058,1258681,42858654
MV,MALDIVES,0,0,4,200
MU,MAURITIUS,1000,177616,2000,343119
MM,MYANMAR,12000,982374,32000,2106038
NP,NEPAL,0,0,10000,1495462
NZ,NEW ZEALAND,1000,108656,4325,483995
PK,PAKISTAN,26000,891856,26000,891856
PH,PHILIPPINES,2500,225821,37175,4215601
SG,SINGAPORE,0,0,69094,8684659
SI,SLOVENIA,0,0,809950,29028978
ZA,SOUTH AFRICA,0,0,112000,3314015
ES,SPAIN,27500,144725,27500,144725
TW,"TAIWAN, PROVINCE OF CHINA",73600,4961875,561675,27844234
TZ,TANZANIA UNITED REPUBLIC OF,84000,3036239,84000,3036239
TR,TÜRKIYE,0,0,20002,3023190
AE,UNITED ARAB EMIRATES,0,0,69975,5741944
US,UNITED STATES,0,0,161706,5389571
VN,VIETNAM,31737,3310487,371880,34946184
SUM,SUM,7932647,238333789,53962248,1215256584
