"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2014', 'Quantity')","('Jun 2014', 'FOB (Baht)')","('Jan - Jun 2014', 'Quantity')","('Jan - Jun 2014', 'FOB (Baht)')"
AU,AUSTRALIA,18740,1745088,109620,10836193
BD,BANGLADESH,0,0,12000,1499213
CN,CHINA,95000,11051599,831005,54853308
GH,GHANA,0,0,16500,371250
IN,INDIA,39550,2051301,374550,37653463
ID,INDONESIA,54300,4887278,178075,16298524
JP,JAPAN,19800,1888784,19960,1910981
KR,"KOREA,REPUBLIC OF",0,0,879,106798
LA,LAO PDR,0,0,7000,380662
MY,MALAYSIA,11125,947055,99325,8801974
MM,MYANMAR,0,0,20400,690617
NZ,NEW ZEALAND,10000,1237715,33460,4056583
PK,PAKISTAN,0,0,8750,625551
PH,PHILIPPINES,0,0,9200,890265
SG,SINGAPORE,0,0,1040,120872
LK,SRI LANKA,0,0,2750,203609
TW,"TAIWAN, PROVINCE OF CHINA",0,0,25625,1885859
VN,VIETNAM,5000,1052522,28525,4261446
SUM,SUM,253515,24861342,1778664,145447168
