"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'FOB (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'FOB (Baht)')"
KH,CAMBODIA,5875,82550,36350,509200
CN,CHINA,0,0,1683525,73224540
HK,HONG KONG,0,0,1,97
IN,INDIA,0,0,1841,1181030
ID,INDONESIA,0,0,2000,91632
JP,JAPAN,0,0,100,4739
KR,"KOREA,REPUBLIC OF",0,0,1320,18004
MY,MALAYSIA,22168,1139526,183717,8902849
PH,PHILIPPINES,0,0,35045,1749460
LK,SRI LANKA,0,0,2000,81486
SUM,SUM,28043,1222076,1945899,85763037
