"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2019', 'Quantity')","('Oct 2019', 'FOB (Baht)')","('Jan - Oct 2019', 'Quantity')","('Jan - Oct 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,41090,1747510
CN,CHINA,13300,1164309,734070,25082002
HK,HONG KONG,0,0,24000,902004
IN,INDIA,6000,199776,196525,19990603
ID,INDONESIA,101400,5211251,744300,37155851
JP,JAPAN,0,0,30200,1340522
KR,"KOREA,REPUBLIC OF",2000,204548,18000,1891323
MX,MEXICO,0,0,102000,4583703
PK,PAKISTAN,0,0,2450,224322
TW,"TAIWAN, PROVINCE OF CHINA",0,0,175,26256
TG,TOGO,0,0,32500,784169
VN,VIETNAM,13700,776371,62227,3389766
SUM,SUM,136400,7556255,1987537,97118031
